,Time,Username,Tweet,Clean Tweet,Stemmed Tweet,Lemmatized Tweet,Tagged Tweets,sentiment
0,2022-11-07 05:07:36,DepaulSocial,"How To Start A Shopify Store And Run It Successfully: A Shopify Starti̔ng Guide 👍

👉https://t.co/9uOGZSX67j

#kwasikwarteng #liztruss #africanledenergy #bye #sneakdeepsecret #ww1 #blacklivesmatter #invalidecho https://t.co/oAUfHeSChe",start shopify store run successfully shopify starting guide kwasikwarteng liztruss africanledenergy bye sneakdeepsecret ww blacklivesmatter invalidecho,start shopifi store run success shopifi start guid kwasikwarteng liztruss africanledenergi bye sneakdeepsecret ww blacklivesmatt invalidecho,start shopify store run successfully shopify starting guide kwasikwarteng liztruss africanledenergy bye sneakdeepsecret ww blacklivesmatter invalidecho,start_NN shopify_VB store_NN run_NN successfully_RB shopify_VB starting_VBG guide_JJ kwasikwarteng_NN liztruss_NN africanledenergy_NN bye_NN sneakdeepsecret_JJ ww_NN blacklivesmatter_NN invalidecho_NN,1
1,2022-11-07 05:04:44,ebethmiller2016,Listen fuck twitter bc of evilon owning it but we have to be vocal about this! I hope for peace and justice for the victim and a big ol’ reality check for miss girl #BlackLivesMatter  #UniversityofKentucky #DoBetter https://t.co/3DNNmYrT2G,listen fuck twitter bc evilon owning vocal hope peace justice victim big ol ' reality check miss girl blacklivesmatter universityofkentucky dobetter,listen fuck twitter bc evilon own vocal hope peac justic victim big ol ' realiti check miss girl blacklivesmatt universityofkentucki dobett,listen fuck twitter bc evilon owning vocal hope peace justice victim big ol ' reality check miss girl blacklivesmatter universityofkentucky dobetter,listen_JJ fuck_JJ twitter_NN bc_NN evilon_NN owning_VBG vocal_JJ hope_NN peace_NN justice_NN victim_NN big_JJ ol_NN '_POS reality_NN check_NN miss_VBP girl_NN blacklivesmatter_NN universityofkentucky_JJ dobetter_NN,0
2,2022-11-07 05:03:43,Esyeonby,I don’t think they gone let him come back so he don’t tell the story …. why is the mainstream media‘s not talking about this ? 🤔🤔 #BlackLivesMatter #BlM where are you https://t.co/RDwykqYiZL,think gone let come back tell story mainstream media 's talking blacklivesmatter blm,think gone let come back tell stori mainstream media 's talk blacklivesmatt blm,think gone let come back tell story mainstream medium 's talking blacklivesmatter blm,think_VB gone_VBN let_JJ come_VB back_RB tell_JJ story_NN mainstream_JJ media_NNS 's_POS talking_VBG blacklivesmatter_NN blm_NN,0
3,2022-11-07 05:03:11,sevynelevenn,#BlackLivesMatter https://t.co/57Aq8ZmWlU,blacklivesmatter,blacklivesmatt,blacklivesmatter,blacklivesmatter_NN,1
4,2022-11-07 05:01:51,COMA387Group3,Why does Google discriminate porn by supporting BlackLivesMatter?,google discriminate porn supporting blacklivesmatter,googl discrimin porn support blacklivesmatt,google discriminate porn supporting blacklivesmatter,google_NN discriminate_NN porn_NN supporting_VBG blacklivesmatter_NN,0
5,2022-11-07 05:01:00,marktsneed,The very fact of being human panics us into the most grotesque play-acting imaginable; and we deal in absurdities to keep life from being a total waste... - Hal Bennett #MondayThoughts #MondayMotivation #WritingCommunity #amwritingfiction #writersoftwitter #BlackLivesMatter https://t.co/Y13hSECdO2,fact human panics us grotesque playacting imaginable deal absurdities keep life total waste hal bennett mondaythoughts mondaymotivation writingcommunity amwritingfiction writersoftwitter blacklivesmatter,fact human panic us grotesqu playact imagin deal absurd keep life total wast hal bennett mondaythought mondaymotiv writingcommun amwritingfict writersoftwitt blacklivesmatt,fact human panic u grotesque playacting imaginable deal absurdity keep life total waste hal bennett mondaythoughts mondaymotivation writingcommunity amwritingfiction writersoftwitter blacklivesmatter,fact_NN human_JJ panics_NNS us_PRP grotesque_VBP playacting_VBG imaginable_JJ deal_NN absurdities_NNS keep_VBP life_NN total_JJ waste_NN hal_NN bennett_NN mondaythoughts_NNS mondaymotivation_NN writingcommunity_NN amwritingfiction_NN writersoftwitter_NN blacklivesmatter_NN,0
6,2022-11-07 05:00:01,OldMainBell,DING. ding ding. ding! ding ding... ding ding! Ding ding Ding^ ding* #PennState #BlackLivesMatter #JusticeForAll,ding ding ding ding ding ding ding ding ding ding ding ding pennstate blacklivesmatter justiceforall,ding ding ding ding ding ding ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,ding ding ding ding ding ding ding ding ding ding ding ding pennstate blacklivesmatter justiceforall,ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG pennstate_JJ blacklivesmatter_NN justiceforall_NN,1
7,2022-11-07 04:53:02,JohnnyPlants,@IamTaraFelicia @Breakingtrends1 @Dillards I am so glad to read this. Get ‘em mama bear!! #BlackLivesMatter,iamtarafelicia breakingtrends dillards glad read get 'em mama bear blacklivesmatter,iamtarafelicia breakingtrend dillard glad read get 'em mama bear blacklivesmatt,iamtarafelicia breakingtrends dillards glad read get 'em mama bear blacklivesmatter,iamtarafelicia_JJ breakingtrends_NNS dillards_NNS glad_VBP read_JJ get_VBP 'em_JJ mama_NN bear_NN blacklivesmatter_NN,1
8,2022-11-07 04:52:39,themialifee,"Truth hurts ❕❕❕❕
#WhitePrivilege #JewishPrivilege #America #BlackLivesMatter ✊🏾 https://t.co/1d409JgXP3",truth hurts whiteprivilege jewishprivilege america blacklivesmatter,truth hurt whiteprivileg jewishprivileg america blacklivesmatt,truth hurt whiteprivilege jewishprivilege america blacklivesmatter,truth_NN hurts_VBZ whiteprivilege_WP jewishprivilege_NN america_NN blacklivesmatter_NN,0
9,2022-11-07 04:45:59,BotDefund,Defund the #HawleyPolice #BlackLivesMatter,defund hawleypolice blacklivesmatter,defund hawleypolic blacklivesmatt,defund hawleypolice blacklivesmatter,defund_NN hawleypolice_NN blacklivesmatter_NN,0
